,Fecha_del_Caso,Provincia,Clasificacion,link1,medio
0,3/1/2023,Río Negro,Intento de Femicidio,https://www.anroca.com.ar/noticias/2023/01/05/132765-preventiva-por-el-intento-de-femicidio-de-su-ex-pareja-trato-de-quemarla,anroca
1,4/1/2023,Buenos Aires,Intento de Femicidio,https://otrasvocesmdz.com.ar/brutal-intento-de-femicidio-en-el-palomar-apunalo-a-su-ex-pareja-y-huyo/,otrasvocesmdz
2,5/1/2023,Buenos Aires,Femicidio,https://lmdiario.com.ar/contenido/385200/buenos-aires-matan-de-un-escopetazo-a-una-joven-y-detienen-a-su-novio,lmdiario
3,6/1/2023,Entre Ríos,Femicidio,https://www.clarin.com/policiales/rios-hombre-asesino-expareja-luego-intento-suicidarse-soportaba-rechazo-_0_FgC4aIcUAt.html,clarin
4,6/1/2023,Córdoba,Intento de Femicidio,https://melodijoperez.com.ar/contenido/20557/violencia-de-genero-hallaron-muerto-al-hombre-que-baleo-a-su-ex-novia,melodijoperez
5,7/1/2023,La Rioja,Intento de Femicidio,https://www.pagina12.com.ar/514025-intento-de-femicidio-en-chamical,pagina12
6,7/1/2023,Buenos Aires,Femicidio Directo,https://www.lanacion.com.ar/seguridad/encuentran-muerta-a-una-mujer-en-el-pozo-septico-de-su-casa-y-por-el-crimen-buscan-a-su-expareja-nid07012023/,lanacion
7,8/1/2023,Buenos Aires,Femicidio,https://www.infobae.com/sociedad/policiales/2023/01/09/general-rodriguez-un-cartonero-encontro-el-cuerpo-de-una-mujer-en-bikini-con-signos-de-haber-sido-golpeada-y-ahorcada/,infobae
8,8/1/2023,Entre Ríos,Intento de Femicidio,https://ahora.com.ar/policiales/intento-femicidio-parana-intento-apunalar-su-ex-n5333344,ahora
9,8/1/2023,Neuquén,Intento de Femicidio,https://www.mejorinformado.com/policiales/2023/1/8/amenazo-una-joven-disparo-contra-su-casa-pero-quedo-libre-101911.html,mejorinformado
10,8/1/2023,Buenos Aires,Femicidio,https://diarioconurbano.com.ar/justicia/lomas-juzgaran-a-un-colectivero-acusado-de-asesinar-a-su-pareja-de-un-escopetazo/,diarioconurbano
11,9/1/2023,Neuquén,Intento de Femicidio,https://www.rionegro.com.ar/justicia/intento-de-femicidio-en-zapala-que-queres-que-te-mate-2688685/,rionegro
12,9/1/2023,Córdoba,Femicidio,https://www.diariosumario.com.ar/generos/2023/1/9/femicidio-un-hombre-detenido-en-rio-cuarto-37661.html,diariosumario
13,9/1/2023,Córdoba,Intento de Femicidio,https://www.lavoz.com.ar/ciudadanos/valle-de-traslasierra-tiro-a-su-pareja-desde-un-puente-y-quedo-detenido/,lavoz
14,11/1/2023,Jujuy,Intento de Femicidio,https://elnoticierodigital.com.ar/2023/01/12/horror-en-jujuy-detienen-a-un-sujeto-que-intento-prender-fuego-a-su-pareja/,elnoticierodigital
15,12/1/2023,Jujuy,Intento de Femicidio,https://elsubmarinojujuy.com.ar/una-mujer-fue-dada-de-alta-tras-sufrir-violencia-de-genero-llego-a-su-casa-y-fue-atacada-otra-vez/,elsubmarinojujuy
16,12/1/2023,Tucumán,Intento de Femicidio,https://nden.com.ar/nota/16204/femicidios-y-violencia-de-genero-a-la-orden-del-dia/,nden
17,13/1/2023,Salta,Femicidio,https://www.pagina12.com.ar/516804-rosario-de-la-frontera-investigan-un-presunto-femicidio,pagina12
18,13/1/2023,Buenos Aires,Se Investiga - Femicidio,https://viapais.com.ar/buenos-aires/ciudadela-encontraron-muerta-a-una-pareja-e-investigan-si-se-trato-de-un-femicidio-seguido-de-suicidio/,viapais
19,13/1/2023,Entre Ríos,Intento de Femicidio,https://www.unoentrerios.com.ar/policiales/violencia-genero-un-hombre-casi-incendia-su-pareja-n10040923.html,unoentrerios
20,13/1/2023,Entre Ríos,Intento de Femicidio,https://ahora.com.ar/policiales/mas-violencia-genero-parana-un-padre-desmayo-golpes-su-hija-n5333758,ahora
21,14/1/2023,Buenos Aires,Femicidio Vinculado,https://www.lagaceta.com.ar/nota/976692/seguridad/horror-berazategui-concejal-fdt-estaba-jugando-al-tenis-pareja-entro-ex-novia-lo-mato.html,lagaceta
22,14/1/2023,Buenos Aires,Intento de Femicidio,https://www.elpatagonico.com/un-policia-apunalo-su-ex-la-hija-y-un-militar-n5629467,elpatagonico
23,14/1/2023,Buenos Aires,Intento de Femicidio Vinculado,https://www.elpatagonico.com/un-policia-apunalo-su-ex-la-hija-y-un-militar-n5629467,elpatagonico
24,14/1/2023,Buenos Aires,Intento de Femicidio Vinculado,https://www.elpatagonico.com/un-policia-apunalo-su-ex-la-hija-y-un-militar-n5629467,elpatagonico
25,14/1/2023,Córdoba,Transfemicidio,"https://www.ambito.com/informacion-general/cordoba/encontraron-muerta-sofia-bravo-la-joven-cordobesa-que-habia-desaparecido-el-5-enero-n5629302 , https://eldoce.tv/actualidad/2024/10/21/juzgan-a-un-camionero-por-el-femicidio-de-sofia-bravo-en-cordoba-lo-acusan-de-matar-por-odio-de-genero/",ambito
26,15/1/2023,San Luis,Femicidio,https://www.eldiariodelarepublica.com/nota/2023-1-15-13-24-0-concaran-investigan-el-femicidio-de-una-joven,eldiariodelarepublica
27,15/1/2023,Tucumán,Femicidio,https://www.lagaceta.com.ar/nota/977906/seguridad/fallecio-mujer-quemada-agonizo-durante-10-dias.html,lagaceta
28,15/1/2023,Corrientes,Intento de Femicidio,https://www.ellitoral.com.ar/corrientes/2023-1-16-1-0-0-violencia-de-genero-arrestan-a-un-policia-por-incendiar-la-casa-de-su-pareja,ellitoral
29,15/1/2023,San Juan,Intento de Femicidio,https://www.diarioelzondasj.com.ar/284728-salvaje-ataque-de-un-sanjuanino-a-su-novia-te-voy-a-matar,diarioelzondasj
30,15/1/2023,Santiago del Estero,Intento de Femicidio,https://www.canal13sanjuan.com/el-pais/2023/1/20/la-pesadilla-de-una-mujer-que-casi-fue-asesinada-por-su-pareja-197438.html,canal13sanjuan
31,15/1/2023,Jujuy,Intento de Femicidio,https://www.quepasajujuy.com.ar/policiales/intento-de-femicidio-en-san-pedro-pidio-permiso-para-entrar-al-bano-y-la-ataco/,quepasajujuy
32,15/1/2023,San Juan,Intento de Femicidio,https://www.diariohuarpe.com/nota/violencia-de-genero-sarmientino-no-ira-a-prision-tras-desfigurar-a-su-pareja-202312020280,diariohuarpe
33,16/1/2023,Buenos Aires,Intento de Femicidio,https://tsnnecochea.com.ar/detienen-a-un-joven-que-golpeo-brutalmente-a-su-pareja/,tsnnecochea
34,16/1/2023,Córdoba,Intento de Femicidio,https://www.cba24n.com.ar/cordoba/apunalo-a-su-pareja-y-huyo--fue-detenido-por-la-policia_a63c5ec7f8a511a11ae6f17c3,cba24n
35,16/1/2023,Corrientes,Intento de Femicidio,https://www.radiodos.com.ar/142307-corrientes-condenaron-a-un-hombre-a-12-anos-y-medio-de-prision-por-intento-de-femicidio,radiodos
36,17/1/2023,Buenos Aires,Intento de Femicidio,https://www.expresdiario.com.ar/el-escalofriante-audio-de-una-nena-queactivo-el-boton-antipanico-y-salvo-a-su-mama/,expresdiario
37,17/1/2023,Formosa,Intento de Femicidio,https://www.grupolaprovincia.com/seguridad/intento-matar-a-su-pareja-en-formosa-y-luego-se-suicido-1087820,grupolaprovincia
38,17/1/2023,Chaco,Intento de Femicidio,https://www.diariotag.com/149805-un-hombre-ataco-a-su-ex-pareja-con-un-cuchillo-y-le-genero-cortes-en-la-zona-abdominal,diariotag
39,18/1/2023,Misiones,Femicidio,https://www.primeraedicion.com.ar/nota/100917077/elevaron-a-juicio-oral-el-femicidio-de-natalia-castro/,primeraedicion
40,18/1/2023,Santa Fe,Se Investiga - Femicidio,https://sinfiltro.ar/hallan-a-una-policia-muerta-en-su-departamento-de-laguna-paiva-e-investigan-las-causas/,sinfiltro
41,18/1/2023,Córdoba,Femicidio,"https://melodijoperez.com.ar/contenido/20718/femicidio-sacanta-encontraron-asesinada-a-la-joven-desaparecida-en-despenaderos-,https://www.cba24n.com.ar/cordoba/este-lunes-comienza-el-juicio-por-el-femicidio-de-valeria-oviedo_a667875c237c8444302f8e068",melodijoperez
42,19/1/2023,Buenos Aires,Femicidio,https://www.clarin.com/policiales/supo-mato-albanil-esposa-moreno_0_o9T2LEQf1z.html,clarin
43,19/1/2023,Buenos Aires,Intento de Femicidio,https://diariosanrafael.com.ar/brutal-caso-de-violencia-de-genero-en-mar-del-plata-secuestro-a-su-pareja-la-ato-golpeo-y-picaneo-hasta-dejarla-inconsciente/,diariosanrafael
44,20/1/2023,Buenos Aires,Intento de Femicidio,https://www.canal13sanjuan.com/el-pais/2023/1/20/brutal-ataco-su-madre-martillazos-en-la-cabeza-lo-detuvieron-197394.html,canal13sanjuan
45,20/1/2023,Buenos Aires,Femicidio,https://www.grupolaprovincia.com/seguridad/asesina-a-su-esposa-de-un-escopetazo-en-san-antonio-de-areco-y-se-suicida-2-1089516,grupolaprovincia
